# path	name	features	autoloads	description
third_party/godot-demo-projects/audio/device_changer	Audio Device Changer Demo	4.7		This is a demo showing how the audio output device can be changed from Godot.
third_party/godot-demo-projects/audio/generator	Audio Generator Demo	4.7		
third_party/godot-demo-projects/audio/mic_record	Audio Mic Record Demo	4.7		
third_party/godot-demo-projects/audio/midi_piano	MIDI Piano Demo	4.7		
third_party/godot-demo-projects/audio/rhythm_game	Rhythm Game	4.7, GL Compatibility	GlobalSettings	Simple rhythm game utilizing precise playback position.
third_party/godot-demo-projects/audio/spectrum	Audio Spectrum Demo	4.7		This is a demo showing how a spectrum analyzer can be built using Godot.
third_party/godot-demo-projects/audio/text_to_speech	Text-to-speech demo	4.7		This is a demo showing text-to-speech support.
third_party/godot-demo-projects/compute/heightmap	Compute Shader Heightmap	4.7		
third_party/godot-demo-projects/compute/post_shader	Compositor Effects (Post-Processing)	4.7, Forward Plus		
third_party/godot-demo-projects/compute/texture	Compute Texture	4.7		
third_party/godot-demo-projects/gui/accessibility	UI Accessibility	4.7		
third_party/godot-demo-projects/gui/bidi_and_font_features	BiDi and Font Features	4.7		
third_party/godot-demo-projects/gui/control_gallery	Control Gallery	4.7		Showcases various Control nodes with their names affixed for easy recognition.
third_party/godot-demo-projects/gui/custom_splash_screen	Custom Splash Screen	4.7		
third_party/godot-demo-projects/gui/drag_and_drop	Drag & Drop (GUI)	4.7		
third_party/godot-demo-projects/gui/gd_paint	GD Paint	4.7		
third_party/godot-demo-projects/gui/input_mapping	Input Mapping GUI	4.7	KeyPersistence	
third_party/godot-demo-projects/gui/msdf_font	Multi-channel Signed Distance Field Font Demo	4.7		
third_party/godot-demo-projects/gui/multiple_resolutions	Multiple Resolutions and Aspect Ratios	4.7		
third_party/godot-demo-projects/gui/pseudolocalization	Pseudolocalization	4.7		
third_party/godot-demo-projects/gui/regex	RegEx (Regular Expressions)	4.7		
third_party/godot-demo-projects/gui/rich_text_bbcode	Rich Text Label with BBCode	4.7		A demo showcasing the support for rich text and BBCode via RichTextLabel.
third_party/godot-demo-projects/gui/theming_override	GUI Theming Override	4.7		Demonstrates how to override GUI colors and styleboxes at runtime.
third_party/godot-demo-projects/gui/translation	Translation Demo	4.7		
third_party/godot-demo-projects/gui/ui_mirroring	UI Mirroring Demo	4.7		
third_party/godot-demo-projects/loading/autoload	Autoload (Singletons)	4.7	global	This demo shows how to use autoloads to change between scenes.
third_party/godot-demo-projects/loading/load_threaded	Threaded Loading	4.7		This demo demonstrates how to use ResourceLoader for background loading.
