# path	shader_type	lines	uniforms
third_party/godot-demo-projects/misc/hdr_output/color_sweep/color_sweep.gdshader	canvas_item	92	log2_min,log2_max,clip_to_max,max_value
third_party/godot-demo-projects/misc/noise_viewer/noise_viewer.gdshader	canvas_item	20	min_value,max_value
third_party/godot-demo-projects/viewport/dynamic_split_screen/split_screen.gdshader	canvas_item	67	viewport_size,viewport1,viewport2,split_active,player1_position,player2_position,split_line_thickness,split_line_color
third_party/godot-demo-projects/xr/openxr_character_centric_movement/objects/black_out.gdshader	spatial	12	albedo
third_party/godot-demo-projects/xr/openxr_composition_layers/cursor.gdshader	canvas_item	9	color
third_party/godot-demo-projects/xr/openxr_composition_layers/pointer.gdshader	spatial	16	color,energy
third_party/godot-demo-projects/xr/openxr_origin_centric_movement/objects/black_out.gdshader	spatial	12	albedo
third_party/godot-demo-projects/xr/openxr_passthrough/holepunch.gdshader	spatial	6	
third_party/godot-demo-projects/xr/openxr_spectator_view/shaders/color.gdshader	spatial	13	albedo_color,metallic,roughness,specular
third_party/godot-demo-projects/xr/openxr_spectator_view/shaders/color_unshaded.gdshader	spatial	9	albedo_color
third_party/godot-demo-projects/xr/openxr_spectator_view/shaders/eye_output.gdshader	canvas_item	24	xr_texture,layer
third_party/godot-demo-projects/xr/openxr_spectator_view/shaders/textured.gdshader	spatial	24	albedo,texture_albedo,roughness,specular,metallic,uv1_scale,uv1_offset
third_party/godot-demo-projects/xr/openxr_spectator_view/shaders/textured_unshaded.gdshader	spatial	18	albedo,albedo_texture,uv1_scale,uv1_offset
third_party/godot-open-rpg/addons/dialogic/Modules/Background/Transitions/default_transition_shader.gdshader	canvas_item	36	progress,previous_background,next_background,wipe_texture,feather,keep_aspect_ratio
third_party/godot-open-rpg/addons/dialogic/Modules/Background/Transitions/push_transition_shader.gdshader	canvas_item	17	final_offset,progress,previous_background,next_background
third_party/godot-open-rpg/addons/dialogic/Modules/DefaultLayoutParts/Layer_Textbubble/speech_bubble.gdshader	canvas_item	17	deformation_sampler,radius,box_size,box_padding,wobble_amount,wobble_speed,wobble_detail
third_party/godot-open-rpg/addons/dialogic/Modules/DefaultLayoutParts/Layer_Textbubble/text_bubble.gdshader	canvas_item	17	deformation_sampler,radius,box_size,box_padding,wobble_amount,wobble_speed,wobble_detail
